indicator,statinfo,unit,stk_flow,geo\time,1980 ,1981 ,1982 ,1983 ,1984 ,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind13,AVG_30Y,MIO_EUR,LOSS,FI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,57 ,61 ,66 ,66 ,66 ,55 ,55 ,55 ,16 ,16 ,16 ,18 
ind13,AVG_30Y,MIO_EUR,LOSS,FR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2228 ,2383 ,2436 ,2447 ,2407 ,2494 ,2483 ,2560 ,2667 ,2746 ,2833 ,2841 
ind13,AVG_30Y,MIO_EUR,LOSS,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,38 ,54 ,54 ,54 ,54 ,74 ,80 ,80 ,84 ,94 ,94 ,95 
ind13,AVG_30Y,MIO_EUR,LOSS,HU,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,183 ,196 ,196 ,196 ,196 ,197 ,197 ,118 ,118 ,118 ,118 ,118 
ind13,AVG_30Y,MIO_EUR,LOSS,IE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,48 ,47 ,56 ,56 ,60 ,73 ,81 ,80 ,89 ,84 ,86 ,87 
ind13,AVG_30Y,MIO_EUR,LOSS,IS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 
ind13,AVG_30Y,MIO_EUR,LOSS,IT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1814 ,1834 ,1879 ,1758 ,1756 ,1800 ,1893 ,1941 ,2097 ,2267 ,2427 ,2469 
ind13,AVG_30Y,MIO_EUR,LOSS,LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,31 ,31 ,30 ,30 ,30 ,30 ,30 ,30 ,44 ,44 ,44 ,44 
ind13,AVG_30Y,MIO_EUR,LOSS,LU,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,12 ,13 ,13 ,13 ,13 ,13 ,13 ,15 ,15 ,15 ,19 ,9 
ind13,AVG_30Y,MIO_EUR,LOSS,LV,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,16 ,16 ,14 ,14 ,14 ,14 ,14 ,14 ,27 ,30 ,30 ,30 
ind13,AVG_30Y,MIO_EUR,LOSS,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,2 ,2 
ind13,AVG_30Y,MIO_EUR,LOSS,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,212 ,212 ,212 ,212 ,247 ,249 ,255 ,285 ,285 ,299 ,301 ,221 
ind13,AVG_30Y,MIO_EUR,LOSS,NO,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,41 ,41 ,41 ,41 ,45 ,45 ,45 ,48 ,39 ,41 ,41 ,35 
ind13,AVG_30Y,MIO_EUR,LOSS,PL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,423 ,441 ,441 ,419 ,411 ,411 ,370 ,370 ,351 ,355 ,355 ,358 
ind13,AVG_30Y,MIO_EUR,LOSS,PT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,282 ,328 ,328 ,328 ,324 ,324 ,313 ,321 ,387 ,393 ,410 ,413 
ind13,AVG_30Y,MIO_EUR,LOSS,RO,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,301 ,339 ,339 ,340 ,340 ,356 ,449 ,449 ,450 ,454 ,454 ,466 
ind13,AVG_30Y,MIO_EUR,LOSS,SE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,92 ,95 ,95 ,95 ,96 ,104 ,104 ,104 ,104 ,107 ,112 ,113 
ind13,AVG_30Y,MIO_EUR,LOSS,SI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,76 ,83 ,83 ,96 ,96 ,119 ,119 ,119 ,119 ,119 ,125 ,77 
ind13,AVG_30Y,MIO_EUR,LOSS,SK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,47 ,48 ,48 ,48 ,48 ,48 ,48 ,48 ,48 ,48 ,49 ,50 
ind13,AVG_30Y,MIO_EUR,LOSS,TR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,116 ,116 ,116 ,116 ,116 ,116 ,116 ,116 ,132 ,132 ,136 ,142 
ind13,VAL_A,EUR_HAB,LOSS,AT,: ,: ,0.21 ,: ,: ,: ,: ,50.04 ,: ,: ,55.25 ,21.58 ,: ,0.17 ,0.34 ,: ,0.72 ,35.38 ,: ,20.12 ,32.80 ,0.11 ,419.75 ,43.40 ,0.07 ,92.17 ,75.75 ,46.97 ,63.90 ,71.42 ,: ,: ,1.36 ,102.60 ,: ,15.61 ,: ,120.15 ,38.28 ,60.14 ,7.93 
