sectperf,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
GOV,PC_GDP,KR,0.28 d,0.28 d,0.3 d,0.29 d,0.29 d,0.3 d,0.31 d,0.33 b,0.36 ,0.41 ,0.42 ,0.42 ,0.43 ,0.43 ,0.46 ,0.47 ,0.46 ,0.46 ,0.46 ,0.46 ,0.48 ,: 
GOV,PC_GDP,LT,0.25 ,0.26 ,0.22 ,0.18 ,0.19 ,0.19 ,0.18 ,0.17 ,0.18 ,0.19 ,0.14 ,0.18 ,0.17 ,0.19 ,0.18 ,0.18 ,0.22 ,0.25 ,0.21 ,0.2 ,0.18 ,0.17 
GOV,PC_GDP,LU,0.11 ,0.14 ,0.15 ,0.17 ,0.17 ,0.19 ,0.19 ,0.21 ,0.25 ,0.26 b,0.3 ,0.33 ,0.34 ,0.36 ,0.36 ,0.36 ,0.32 ,0.3 ,0.3 ,0.28 ,0.28 e,0.29 ep
GOV,PC_GDP,LV,0.1 ,0.09 ,0.08 ,0.08 ,0.08 ,0.1 ,0.1 ,0.13 ,0.16 ,0.11 ,0.14 ,0.17 ,0.18 ,0.18 ,0.17 ,0.16 ,0.14 ,0.13 ,0.15 ,0.12 ,0.13 ,0.14 p
GOV,PC_GDP,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.08 d,: ,0.06 d,0.08 d,0.07 ,0.07 ,0.1 ,0.13 ,: ,: ,: 
GOV,PC_GDP,MK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.06 ,0.05 ,0.04 ,0.04 ,0.03 ,0.04 ,: 
GOV,PC_GDP,MT,: ,: ,0.04 ,0.02 ,0.01 ,0.03 ,0.03 ,0.01 ,0.02 ,0.02 ,0.02 ,0.03 ,0.06 ,0.07 ,0.07 ,0.12 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 ,0.01 
GOV,PC_GDP,NL,0.22 b,0.24 d,0.22 ,0.24 bd,0.24 d,0.22 d,0.22 d,0.2 d,0.19 d,0.21 d,0.2 d,0.2 d,0.23 bd,0.13 bd,0.13 d,0.13 d,0.13 d,0.12 d,0.13 d,0.12 d,0.13 d,0.13 dp
GOV,PC_GDP,NO,: ,0.23 ,0.26 ,0.25 ,0.24 ,0.23 ,0.23 ,0.24 b,0.23 ,0.28 ,0.27 ,0.27 ,0.26 ,0.26 ,0.26 ,0.29 ,0.29 ,0.28 ,0.28 ,0.27 ,0.28 ,0.26 
GOV,PC_GDP,PL,0.21 ,0.19 ,0.25 ,0.22 ,0.22 ,0.2 ,0.2 ,0.2 ,0.21 ,0.23 ,0.26 ,0.26 ,0.25 ,0.24 ,0.23 ,0.24 ,0.02 ,0.02 ,0.02 ,0.02 ,0.03 ,0.03 p
GOV,PC_GDP,PT,0.17 e,0.16 ,0.14 e,0.12 ,0.11 e,0.11 ,0.11 e,0.11 ,0.11 ,0.12 ,0.11 ,0.11 ,0.07 ,0.09 ,0.08 ,0.08 ,0.07 ,0.07 ,0.07 ,0.07 ,0.08 ,0.08 p
GOV,PC_GDP,RO,0.07 ,0.11 ,0.09 ,0.13 ,0.13 ,0.14 ,0.15 ,0.17 ,0.23 ,0.16 ,0.16 ,0.19 b,0.19 ,0.19 ,0.16 ,0.19 ,0.16 ,0.16 ,0.15 ,0.15 ,0.15 ,0.14 p
GOV,PC_GDP,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.25 ,0.26 ,0.23 ,0.25 ,0.23 ,0.18 b,0.22 ,0.22 ,0.24 ,0.26 ,0.23 ,0.27 ,0.26 
GOV,PC_GDP,RU,0.24 ,0.27 ,0.28 ,0.3 ,0.27 ,0.26 ,0.27 ,0.3 ,0.29 ,0.35 ,0.33 ,0.3 ,0.33 ,0.31 ,0.33 ,0.34 ,: ,0.34 ,0.34 ,0.29 ,: ,: 
GOV,PC_GDP,SE,: ,0.11 d,: ,0.13 d,0.1 d,0.16 b,0.16 e,0.16 ,0.15 e,0.15 ,0.15 e,0.14 ,0.16 e,0.12 e,0.12 e,0.11 ,0.11 e,0.12 ,0.12 ,0.15 b,0.15 ,0.15 
GOV,PC_GDP,SI,0.35 ,0.36 ,0.33 ,0.28 ,0.27 ,0.34 ,0.38 ,0.35 ,0.36 ,0.38 ,0.37 ,0.34 b,0.34 ,0.33 ,0.29 ,0.3 ,0.27 ,0.26 ,0.26 ,0.28 ,0.29 ,0.29 p
