siec,unit,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
O4000XBIO,PC,BE,100.157 ,100.821 ,98.924 ,100.801 ,99.813 ,100.759 ,100.778 ,97.391 ,101.262 ,99.182 ,101.319 ,100.535 ,99.213 ,101.920 ,100.992 ,103.780 ,98.694 ,97.055 ,100.677 ,101.483 ,102.725 ,95.825 
O4000XBIO,PC,BG,96.015 ,98.432 ,98.875 ,97.862 ,98.359 ,102.530 ,99.111 ,100.839 ,99.641 ,101.947 ,101.881 ,98.637 ,97.892 ,104.578 ,98.707 ,101.827 ,100.510 ,101.588 ,95.744 ,102.601 ,97.511 ,97.208 
O4000XBIO,PC,CY,100.309 ,97.540 ,102.023 ,97.768 ,97.809 ,102.313 ,104.179 ,98.583 ,100.080 ,98.913 ,104.192 ,95.790 ,100.980 ,100.817 ,97.867 ,102.824 ,100.671 ,100.900 ,99.230 ,99.716 ,101.676 ,98.447 
O4000XBIO,PC,CZ,95.310 ,97.452 ,93.622 ,95.754 ,93.631 ,97.493 ,96.890 ,96.307 ,97.636 ,96.799 ,96.543 ,95.446 ,95.466 ,96.473 ,97.614 ,97.828 ,97.250 ,97.062 ,99.469 ,97.527 ,101.229 ,96.939 
O4000XBIO,PC,DE,94.592 ,96.683 ,94.059 ,97.230 ,95.438 ,97.317 ,95.791 ,94.357 ,96.227 ,96.503 ,96.756 ,95.500 ,97.151 ,96.475 ,95.908 ,96.541 ,96.374 ,95.834 ,95.484 ,97.339 ,96.544 ,95.552 
O4000XBIO,PC,DK,-84.105 ,-71.347 ,-99.284 ,-99.795 ,-116.420 ,-104.447 ,-86.460 ,-66.199 ,-49.435 ,-57.326 ,-45.023 ,-48.995 ,-36.197 ,-15.486 ,-9.845 ,5.347 ,2.627 ,-5.313 ,18.320 ,44.821 ,55.341 ,30.557 
O4000XBIO,PC,EA20,97.369 ,96.574 ,96.233 ,96.969 ,96.741 ,97.503 ,97.359 ,95.926 ,97.431 ,96.698 ,96.798 ,96.159 ,96.584 ,96.757 ,96.150 ,98.422 ,96.511 ,95.890 ,96.298 ,98.049 ,97.704 ,93.350 
O4000XBIO,PC,EE,101.467 ,93.712 ,100.990 ,97.816 ,99.308 ,98.847 ,105.361 ,105.068 ,95.682 ,106.817 ,95.781 ,100.337 ,100.283 ,103.619 ,101.688 ,101.744 ,101.507 ,115.048 ,84.630 ,129.644 ,129.961 ,54.914 
O4000XBIO,PC,EL,100.318 ,98.540 ,102.640 ,96.127 ,104.829 ,97.782 ,101.338 ,100.971 ,101.295 ,96.763 ,98.697 ,93.929 ,101.387 ,94.730 ,99.930 ,105.487 ,99.698 ,98.097 ,97.935 ,95.719 ,106.438 ,93.086 
O4000XBIO,PC,ES,101.034 ,99.293 ,101.174 ,99.603 ,99.377 ,101.243 ,100.839 ,99.654 ,100.365 ,98.866 ,99.882 ,99.793 ,96.758 ,97.355 ,101.662 ,102.151 ,99.236 ,97.849 ,98.957 ,101.835 ,99.355 ,95.612 
