indicator,sex,age,unit,geo\time,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind1,T,Y_LT65,THS_PER,ME,111 ,116 ,114 ,116 ,88 ,71 ,: 
ind1,T,Y_LT65,THS_PER,MK,308 ,287 ,295 ,282 ,234 ,255 ,: 
ind1,T,Y_LT65,THS_PER,MT,31 ,23 ,23 ,19 ,18 ,21 ,21 
ind1,T,Y_LT65,THS_PER,NL,1269 ,1188 ,1176 ,1063 ,1140 ,1113 ,1098 
ind1,T,Y_LT65,THS_PER,NO,287 ,276 ,314 ,326 ,310 ,371 ,: 
ind1,T,Y_LT65,THS_PER,PL,2007 ,1927 ,1691 ,1622 ,1395 ,1193 ,1182 p
ind1,T,Y_LT65,THS_PER,PT,789 ,657 ,594 ,533 ,472 ,380 ,405 
ind1,T,Y_LT65,THS_PER,RO,927 ,950 ,788 ,880 ,655 ,667 ,492 
ind1,T,Y_LT65,THS_PER,RS,1049 ,1075 ,1040 ,891 ,822 ,770 ,: 
ind1,T,Y_LT65,THS_PER,SE,556 ,564 ,596 ,613 ,620 ,602 ,678 
ind1,T,Y_LT65,THS_PER,SI,87 ,90 ,78 ,65 ,65 ,59 ,55 
ind1,T,Y_LT65,THS_PER,SK,292 ,267 ,220 ,218 ,265 ,182 ,210 
ind1,T,Y_LT65,THS_PER,TR,6433 ,5882 ,5965 ,5972 ,6355 ,6998 ,: 
ind1,T,Y_LT65,THS_PER,UK,5705 ,5366 ,4900 ,4257 ,: ,: ,: 
