indicator,age,sex,reason,unit,quantile,geo\time,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,BG,15.3 ,10.3 ,10.5 ,9.8 ,8.3 ,8.9 ,5.6 ,4.7 ,2.8 ,2.1 ,1.9 ,1.4 ,1.4 ,1.0 ,1.0 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,CH,1.0 ,1.0 ,1.1 ,0.8 ,1.0 ,1.2 ,1.3 ,0.5 ,0.5 ,0.4 ,0.7 ,0.7 ,0.5 ,0.5 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,CY,2.8 ,3.4 ,4.1 ,4.4 ,3.5 ,4.4 ,4.7 ,1.5 ,0.6 ,1.5 ,1.4 ,1.0 ,0.4 ,0.1 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,CZ,0.7 ,0.6 ,1.0 ,1.1 ,1.0 ,1.0 ,1.1 ,0.8 ,0.7 ,0.5 ,0.3 ,0.5 ,0.4 ,0.3 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,DE,2.2 ,2.1 ,1.8 ,1.7 ,1.6 ,1.6 ,1.6 ,0.5 ,0.3 ,0.3 ,0.2 ,0.3 ,0.1 b,0.1 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,DK,0.6 ,1.5 ,1.1 ,0.9 ,1.3 ,1.3 ,1.4 ,1.3 ,1.3 ,1.0 ,1.3 ,1.8 ,1.7 ,1.3 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,EA19,2.4 ,2.5 ,2.4 ,2.7 ,2.8 ,3.1 ,3.3 ,2.7 ,2.3 ,1.3 ,1.4 ,1.3 ,1.8 e,1.9 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,EE,7.3 ,4.3 ,4.8 ,7.3 ,8.3 ,8.4 ,11.3 ,12.7 ,15.3 ,11.8 ,16.4 ,15.5 ,13.0 ,8.1 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,EL,5.4 ,5.5 ,5.5 ,7.5 ,8.0 ,9.0 ,10.9 ,12.3 ,13.1 ,10.0 ,8.8 ,8.1 ,6.5 ,6.4 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,ES,0.4 ,0.5 ,0.3 ,0.6 ,0.7 ,0.8 ,0.6 ,0.6 ,0.5 ,0.1 ,0.2 ,0.2 ,0.4 ,1.1 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,EU,3.0 ,3.0 ,3.1 ,3.4 ,3.5 ,3.7 ,3.7 ,3.3 ,2.6 ,1.7 ,2.0 ,1.9 e,: ,: ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,EU27_2007,3.0 ,3.0 ,3.1 ,3.3 ,3.5 ,3.7 ,3.7 ,3.3 ,2.6 ,1.7 ,2.0 ,1.9 e,: ,: ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,EU27_2020,: ,: ,3.5 e,3.7 e,3.8 e,4.0 e,3.9 e,3.3 e,2.8 e,1.6 e,1.8 e,1.7 e,1.9 e,2.0 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,EU28,: ,: ,3.1 ,3.4 ,3.5 ,3.7 ,3.7 ,3.3 ,2.6 ,1.7 ,2.0 ,1.9 e,: ,: ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,FI,0.8 ,3.7 ,3.9 ,4.4 ,4.6 ,4.3 ,3.3 ,4.3 b,4.1 ,3.6 ,4.7 ,4.7 ,5.4 ,4.4 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,FR,1.9 ,1.9 ,1.9 ,2.3 ,2.2 ,2.6 ,2.8 ,1.2 ,1.3 ,1.0 ,1.2 ,1.2 ,2.7 b,2.8 ,: 
ind1,Y_GE16,T,TOOEFW,PC,TOTAL,HR,: ,: ,6.3 ,5.1 ,3.5 ,3.3 ,3.3 ,1.9 ,1.7 ,1.6 ,1.4 ,1.4 ,1.5 ,1.7 ,: 
