indicator,nrg_bal,unit,geo\time,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind7,REN_ELC,PC,SI,29.271 ,28.654 ,28.231 ,27.697 ,29.962 ,33.756 ,32.200 ,31.045 ,31.637 ,33.081 ,33.935 ,32.722 ,32.056 ,32.425 ,32.307 ,32.632 ,35.095 ,34.976 
ind7,REN_ELC,PC,SK,15.403 ,15.735 ,16.566 ,16.467 ,17.013 ,17.765 ,17.774 ,19.305 ,20.054 ,20.800 ,22.870 ,22.656 ,22.513 ,21.343 ,21.499 ,22.103 ,23.066 ,22.369 
ind7,REN_ELC,PC,XK,0.472 ,0.611 ,0.907 ,0.971 ,0.971 ,1.136 ,1.361 ,1.368 ,1.496 ,1.628 ,1.867 ,1.842 ,3.973 ,3.622 ,4.234 ,5.155 ,5.259 ,5.432 
ind7,REN_HEAT_CL,PC,AL,33.138 ,37.757 ,30.964 ,33.150 ,37.056 ,34.730 ,31.257 ,31.427 ,39.100 ,37.766 ,30.977 ,34.609 ,32.495 ,23.969 ,21.993 ,24.754 ,25.125 ,21.200 
ind7,REN_HEAT_CL,PC,AT,20.165 ,22.817 ,24.491 ,27.142 ,27.195 ,29.626 ,30.959 ,31.517 ,33.077 ,33.222 ,33.375 ,33.231 ,33.480 ,33.670 ,34.178 ,33.929 ,34.995 ,35.481 
ind7,REN_HEAT_CL,PC,BA,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,28.627 ,32.768 ,32.329 ,28.739 ,52.685 ,55.873 ,56.623 ,: 
ind7,REN_HEAT_CL,PC,BE,2.927 ,3.418 ,3.812 ,4.713 ,5.121 ,6.087 ,6.710 ,6.718 ,7.108 ,7.639 ,7.751 ,7.942 ,8.247 ,8.200 ,8.290 ,8.319 ,8.447 ,9.241 
ind7,REN_HEAT_CL,PC,BG,14.056 ,14.257 ,14.790 ,13.862 ,17.262 ,21.639 ,24.334 ,24.768 ,27.241 ,29.234 ,28.518 ,28.903 ,29.990 ,29.854 ,33.250 ,35.423 ,37.178 ,25.625 
ind7,REN_HEAT_CL,PC,CY,9.264 ,9.970 ,10.434 ,13.064 ,14.469 ,17.313 ,18.813 ,19.977 ,21.764 ,22.537 ,22.186 ,24.066 ,24.690 ,26.420 ,37.164 ,35.051 ,37.117 ,41.343 
ind7,REN_HEAT_CL,PC,CZ,9.918 ,10.835 ,11.234 ,12.370 ,12.918 ,14.260 ,14.096 ,15.388 ,16.249 ,17.706 ,19.528 ,19.787 ,19.879 ,19.728 ,20.642 ,22.632 ,23.535 ,24.183 
ind7,REN_HEAT_CL,PC,DE,7.198 ,7.711 ,8.410 ,10.249 ,10.330 ,11.155 ,12.055 ,12.607 ,13.423 ,13.408 ,13.409 ,13.432 ,13.032 ,13.369 ,14.220 ,14.504 ,14.482 ,15.438 
ind7,REN_HEAT_CL,PC,DK,20.501 ,22.612 ,23.661 ,26.707 ,27.964 ,29.403 ,30.369 ,31.889 ,33.201 ,34.679 ,38.014 ,39.536 ,41.078 ,44.063 ,44.968 ,47.302 ,51.073 ,41.530 
ind7,REN_HEAT_CL,PC,EA20,10.381 ,10.998 ,11.772 ,13.402 ,13.833 ,15.084 ,15.248 ,15.475 ,16.655 ,17.079 ,17.972 ,18.348 ,18.380 ,18.932 ,19.262 ,20.037 ,20.429 ,: 
ind7,REN_HEAT_CL,PC,EE,33.361 ,32.369 ,30.838 ,33.037 ,35.997 ,42.028 ,43.162 ,44.550 ,43.218 ,43.112 ,44.934 ,50.031 ,51.765 ,52.217 ,53.671 ,52.193 ,58.834 ,61.323 
ind7,REN_HEAT_CL,PC,EL,13.465 ,13.384 ,13.095 ,14.675 ,14.718 ,17.247 ,18.658 ,20.111 ,24.122 ,27.418 ,27.870 ,26.557 ,25.422 ,28.246 ,30.123 ,30.048 ,31.941 ,31.146 
ind7,REN_HEAT_CL,PC,ES,9.550 ,9.409 ,11.376 ,11.246 ,11.618 ,13.218 ,12.498 ,13.469 ,13.969 ,13.967 ,15.557 ,16.850 ,15.898 ,16.205 ,16.135 ,17.203 ,17.966 ,17.398 
ind7,REN_HEAT_CL,PC,EU27_2020,11.735 ,12.437 ,13.210 ,14.819 ,15.325 ,16.786 ,16.995 ,17.415 ,18.582 ,19.044 ,19.929 ,20.307 ,20.400 ,20.819 ,21.604 ,22.432 ,22.983 ,22.891 
ind7,REN_HEAT_CL,PC,FI,39.504 ,39.116 ,41.409 ,41.434 ,43.079 ,42.888 ,43.973 ,45.732 ,48.230 ,50.772 ,51.955 ,52.618 ,53.704 ,54.593 ,54.905 ,56.884 ,57.622 ,52.589 
ind7,REN_HEAT_CL,PC,FR,12.531 ,12.363 ,11.696 ,12.787 ,13.283 ,15.038 ,16.160 ,15.263 ,16.589 ,17.608 ,18.047 ,18.879 ,20.120 ,20.599 ,21.216 ,22.360 ,23.368 ,24.212 
ind7,REN_HEAT_CL,PC,HR,29.406 ,30.002 ,29.069 ,29.301 ,28.818 ,31.298 ,32.881 ,33.820 ,36.554 ,37.308 ,36.219 ,38.619 ,37.636 ,36.627 ,36.650 ,36.791 ,36.928 ,38.028 
ind7,REN_HEAT_CL,PC,HU,6.450 ,9.935 ,11.380 ,13.544 ,11.970 ,17.019 ,18.077 ,20.043 ,23.313 ,23.699 ,21.283 ,21.335 ,21.027 ,19.902 ,18.204 ,18.160 ,17.720 ,17.929 
