indicator,sex,age,unit,isced11,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind4,M,Y25-34,PC,ED5-8,PL,11.4 b,12.1 ,13.4 ,16.5 b,19.0 ,20.5 ,22.8 ,24.2 ,25.6 ,28.2 ,29.9 b,31.1 ,32.1 ,32.9 ,33.9 b,34.0 ,33.9 ,33.8 ,33.8 ,33.9 ,32.7 ,31.3 b
ind4,M,Y25-34,PC,ED5-8,PT,10.0 ,10.1 ,10.4 ,12.0 ,13.6 b,14.1 ,14.8 ,15.0 ,16.7 ,18.0 ,18.7 ,21.8 b,23.5 ,22.3 ,23.5 b,25.4 ,26.9 ,25.6 ,25.7 ,29.5 ,34.6 ,38.3 b
ind4,M,Y25-34,PC,ED5-8,RO,9.2 ,9.1 ,9.8 ,10.2 b,11.7 ,12.5 ,13.8 ,15.6 ,17.2 ,17.5 ,19.5 b,21.2 ,21.6 ,22.1 ,22.8 b,22.9 ,22.4 ,22.5 ,21.8 ,22.2 ,21.7 ,20.6 b
ind4,M,Y25-34,PC,ED5-8,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,13.9 ,17.5 ,20.4 ,20.1 ,20.7 b,23.7 ,25.0 ,25.6 ,25.8 ,26.3 ,26.1 ,26.7 b
ind4,M,Y25-34,PC,ED5-8,SE,30.5 ,24.9 b,27.3 ,28.5 ,29.0 ,32.4 b,33.8 b,34.3 ,35.5 ,36.6 ,35.9 ,35.8 ,37.2 ,38.4 ,38.8 b,38.9 ,39.5 ,40.4 ,40.4 b,41.0 ,40.6 ,40.9 b
ind4,M,Y25-34,PC,ED5-8,SI,13.4 ,11.9 ,13.0 ,15.6 ,17.1 ,17.9 ,19.1 ,20.4 ,22.4 ,21.9 ,22.7 ,23.8 ,25.4 ,28.2 ,28.1 b,30.3 ,31.9 ,33.1 ,29.8 ,34.3 ,35.8 ,37.2 b
ind4,M,Y25-34,PC,ED5-8,SK,10.7 ,10.9 ,10.0 ,12.0 ,13.3 ,15.6 ,15.1 ,15.1 ,15.9 ,17.5 ,18.5 ,20.6 b,21.5 ,24.2 ,23.5 b,23.5 ,25.7 ,27.2 ,30.0 ,31.0 ,29.3 ,28.2 b
ind4,M,Y25-34,PC,ED5-8,TR,: ,: ,: ,: ,: ,: ,14.7 ,15.3 ,16.3 ,17.1 ,18.3 ,19.6 ,21.7 ,22.9 ,25.0 b,27.4 ,30.1 ,30.9 ,32.2 ,34.0 ,35.5 ,: 
ind4,M,Y25-34,PC,ED5-8,UK,33.0 ,33.6 ,35.0 ,34.0 ,35.0 b,35.0 ,35.6 ,36.3 b,37.0 b,38.5 ,39.3 b,41.4 b,42.8 ,42.8 ,42.8 b,43.6 ,44.9 ,44.4 ,44.8 ,45.9 ,: ,: 
ind4,T,Y25-34,PC,ED5-8,AT,: u,: u,: u,: u,20.1 b,19.7 ,19.0 b,18.7 ,19.2 ,21.0 ,20.7 ,20.9 ,22.8 ,24.9 ,38.4 b,38.6 ,39.7 ,40.3 ,40.5 ,41.6 ,41.4 ,42.4 b
ind4,T,Y25-34,PC,ED5-8,BE,36.0 ,37.5 ,37.6 ,38.9 ,40.7 ,40.6 ,41.9 ,41.3 ,42.3 b,42.5 ,43.8 ,42.5 ,43.0 ,42.7 ,44.2 b,43.1 ,44.3 ,45.7 b,47.4 ,47.3 ,48.5 ,50.9 b
ind4,T,Y25-34,PC,ED5-8,BG,18.9 ,23.0 b,23.1 ,23.6 ,24.3 ,23.7 ,24.5 b,24.9 ,26.0 ,26.9 ,27.5 b,27.2 b,27.2 ,29.6 ,31.3 b,31.8 ,32.8 ,33.4 ,34.0 ,32.7 ,33.0 ,33.6 b
ind4,T,Y25-34,PC,ED5-8,CH,25.6 ,25.6 ,26.7 ,29.2 ,30.4 ,31.0 ,32.2 ,35.0 ,38.5 ,40.0 ,37.4 b,38.0 ,39.3 ,41.9 ,44.2 b,46.5 ,48.8 ,50.1 ,51.2 ,52.7 ,53.0 ,52.3 b
ind4,T,Y25-34,PC,ED5-8,CY,32.7 ,36.2 ,41.0 ,43.9 ,42.7 ,41.3 ,44.6 ,47.0 ,48.0 ,47.8 b,48.1 ,50.5 ,53.6 ,51.4 ,54.0 b,54.7 ,56.2 ,57.0 ,58.5 ,60.3 ,57.8 ,58.3 b
ind4,T,Y25-34,PC,ED5-8,CZ,11.7 ,11.8 ,12.1 ,12.1 b,12.9 ,14.2 ,15.2 ,15.5 ,17.7 ,20.2 ,22.6 ,25.1 b,27.8 ,29.2 ,29.9 b,31.0 ,32.6 ,33.8 ,33.3 ,32.6 ,33.0 ,34.9 b
ind4,T,Y25-34,PC,ED5-8,DE,22.4 ,22.2 ,21.0 ,21.8 ,22.9 ,22.5 b,22.0 ,22.6 ,23.9 ,25.7 ,26.0 b,27.6 ,28.9 ,29.9 ,28.4 b,29.6 ,30.5 ,31.3 ,32.3 ,33.3 ,35.3 b,35.7 b
ind4,T,Y25-34,PC,ED5-8,DK,28.9 ,31.1 ,32.3 ,35.1 b,37.6 ,39.8 ,40.8 ,36.2 b,36.2 b,37.4 ,37.6 ,38.6 ,40.2 ,40.9 ,41.6 b,43.0 ,44.6 b,45.5 b,45.8 ,47.1 ,47.1 ,49.7 b
ind4,T,Y25-34,PC,ED5-8,EA20,: ,: ,25.2 ,26.6 ,28.1 ,28.9 ,29.5 ,30.1 ,30.8 ,31.8 ,32.6 ,33.2 ,34.0 ,35.1 ,35.8 b,36.3 ,36.7 ,37.6 ,39.0 ,40.0 ,41.5 ,42.4 b
ind4,T,Y25-34,PC,ED5-8,EE,28.4 b,27.0 ,26.3 ,27.4 ,27.7 ,33.1 ,34.5 ,34.4 ,35.8 ,36.8 ,38.2 ,39.0 ,40.1 ,40.6 ,40.6 b,38.5 ,39.1 ,40.9 ,41.1 ,40.6 ,40.1 ,43.2 b
ind4,T,Y25-34,PC,ED5-8,EL,23.3 ,22.9 b,23.1 ,23.1 ,24.8 b,24.9 ,26.3 ,27.3 ,27.7 ,28.9 b,30.6 ,32.3 ,34.5 ,37.2 ,38.7 b,40.1 ,41.0 ,42.5 ,42.8 ,42.4 ,43.7 ,44.2 b
ind4,T,Y25-34,PC,ED5-8,ES,33.9 ,35.4 ,37.5 ,37.9 ,39.0 ,40.7 b,40.3 ,40.0 ,40.0 ,39.5 ,40.3 ,40.3 ,40.4 ,41.1 ,41.5 b,41.0 ,41.0 ,42.6 ,44.3 ,46.5 ,47.4 ,48.7 b
ind4,T,Y25-34,PC,ED5-8,EU27_2020,: ,: ,23.1 ,24.6 ,26.3 ,27.2 ,28.1 ,28.9 ,29.9 ,31.2 ,32.2 ,33.0 ,34.1 ,35.1 ,35.9 b,36.5 ,36.8 ,37.6 ,38.6 ,39.4 ,40.5 ,41.2 b
