indicator,unit,indic,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
ind8,PC,INV_GOV,LT,2.43 ,2.28 ,2.98 ,3.08 ,3.61 ,3.61 ,4.28 ,5.42 ,5.39 ,4.42 ,4.97 ,4.73 ,3.97 ,3.75 ,3.53 ,3.69 ,3.04 ,3.23 ,3.19 ,3.08 ,4.44 ,3.10 
ind8,PC,INV_GOV,LU,4.07 ,4.60 ,5.13 ,5.16 ,5.14 ,5.46 ,3.64 ,3.78 ,3.69 ,4.24 ,4.65 ,4.19 ,3.91 ,3.48 ,3.65 ,3.86 ,3.81 ,4.04 ,3.92 ,4.12 ,4.68 ,4.05 
ind8,PC,INV_GOV,LV,1.80 ,1.51 ,1.58 ,2.90 ,3.68 ,3.55 ,4.97 ,6.02 ,5.39 ,5.06 ,4.84 ,5.40 ,5.25 ,4.66 ,4.62 ,4.81 ,3.56 ,4.62 ,5.62 ,5.06 ,5.65 ,5.18 
ind8,PC,INV_GOV,MT,3.84 ,3.49 ,4.10 ,4.50 ,3.72 ,4.55 ,3.97 ,3.75 ,2.47 ,2.38 ,2.15 ,2.79 ,3.16 ,2.77 ,3.44 ,4.03 ,2.57 ,2.41 ,3.25 ,3.84 ,4.35 ,3.93 
ind8,PC,INV_GOV,NL,3.75 ,3.89 ,4.18 ,4.24 ,3.93 ,3.74 ,3.92 ,3.83 ,3.95 ,4.32 ,4.17 ,4.09 ,3.78 ,3.68 ,3.50 ,3.56 ,3.49 ,3.44 ,3.42 ,3.39 ,3.68 ,3.44 
ind8,PC,INV_GOV,NO,3.41 ,3.37 ,3.64 ,3.91 ,3.83 ,3.47 ,3.53 ,3.81 ,3.85 ,4.55 ,4.12 ,4.02 ,3.86 ,4.26 ,4.57 ,4.86 ,5.30 ,5.23 ,5.42 ,5.95 ,6.28 ,5.12 
ind8,PC,INV_GOV,PL,2.89 ,2.82 ,2.84 ,2.79 ,2.89 ,3.30 ,3.85 ,4.37 ,4.71 ,4.97 ,5.73 ,6.06 ,4.90 ,4.31 ,4.72 ,4.54 ,3.31 ,3.80 ,4.65 ,4.31 ,4.46 ,4.13 
ind8,PC,INV_GOV,PT,4.61 ,5.03 ,4.61 ,4.38 ,4.44 ,4.08 ,3.36 ,3.22 ,3.71 ,4.11 ,5.28 ,3.49 ,2.47 ,2.17 ,1.99 ,2.25 ,1.54 ,1.78 ,1.85 ,1.82 ,2.31 ,2.57 
ind8,PC,INV_GOV,RO,3.45 ,2.75 ,3.24 ,3.62 ,2.83 ,2.86 ,5.26 ,6.16 ,6.48 ,5.76 ,5.72 ,5.48 ,4.83 ,4.45 ,4.25 ,5.18 ,3.65 ,2.56 ,2.66 ,3.47 ,4.63 ,: 
ind8,PC,INV_GOV,SE,3.90 ,4.11 ,4.30 ,4.16 ,4.08 ,4.09 ,4.11 ,4.08 ,4.25 ,4.44 ,4.47 ,4.37 ,4.51 ,4.41 ,4.35 ,4.15 ,4.37 ,4.61 ,4.87 ,4.87 ,4.99 ,4.78 
ind8,PC,INV_GOV,SI,3.72 ,3.93 ,3.74 ,3.77 ,3.96 ,3.80 ,4.32 ,4.57 ,4.74 ,5.07 ,4.96 ,4.06 ,4.04 ,4.32 ,5.07 ,4.76 ,3.15 ,3.05 ,3.66 ,3.83 ,4.11 ,4.68 
ind8,PC,INV_GOV,SK,3.65 ,3.92 ,4.08 ,3.16 ,2.94 ,3.46 ,3.83 ,3.19 ,3.41 ,3.92 ,3.63 ,3.71 ,3.24 ,3.37 ,4.11 ,6.36 ,3.39 ,3.36 ,3.75 ,3.59 ,3.45 ,3.13 
ind8,PC,INV_GOV,UK,1.67 ,1.91 ,2.00 ,2.09 ,2.42 ,1.46 ,2.48 ,2.49 ,2.95 ,3.28 ,3.15 ,2.91 ,2.70 ,2.56 ,2.73 ,2.66 ,2.62 ,2.67 ,2.67 ,2.80 ,: ,: 
ind8,PC,INV_HH,AT,6.59 ,6.25 ,5.91 ,5.60 ,5.53 ,5.41 ,5.29 ,5.27 ,5.33 ,5.25 ,5.30 ,5.29 ,5.27 ,5.27 ,5.08 ,5.03 ,4.99 ,5.24 ,5.27 ,5.41 ,5.69 ,6.04 
ind8,PC,INV_HH,BE,5.75 ,5.36 ,5.11 ,5.16 ,5.38 ,6.00 ,6.31 ,6.54 ,6.67 ,6.10 ,6.00 ,5.73 ,5.70 ,5.47 ,5.65 ,5.46 ,5.45 ,5.44 ,5.47 ,5.73 ,5.69 p,5.86 p
ind8,PC,INV_HH,BG,0.46 ,0.62 ,0.57 ,0.52 ,0.52 ,1.29 ,2.53 ,1.38 ,1.63 ,3.61 ,1.26 ,1.68 ,1.60 ,1.57 ,1.51 ,0.76 ,3.20 ,2.31 ,: ,: ,: ,: 
ind8,PC,INV_HH,CH,5.50 ,5.09 ,4.85 ,5.16 ,5.40 ,5.39 ,5.08 ,4.95 ,4.80 ,4.66 ,4.66 ,4.38 ,4.24 ,4.27 ,4.21 ,4.22 ,4.10 ,4.04 ,3.94 ,3.75 p,3.78 p,: 
ind8,PC,INV_HH,CY,7.94 ,7.88 ,8.23 ,9.27 ,10.06 ,11.54 ,13.17 ,13.84 ,13.78 ,11.17 ,9.51 ,7.45 ,5.99 ,4.95 ,4.79 ,4.46 ,5.34 ,6.01 ,7.57 ,8.68 ,9.25 ,8.83 p
ind8,PC,INV_HH,CZ,6.29 ,5.79 ,6.10 ,6.08 ,5.85 ,6.01 ,6.01 ,6.33 ,5.79 ,6.07 ,6.26 ,5.46 ,4.90 ,4.90 ,4.90 ,4.74 ,4.91 ,4.22 ,4.87 ,5.09 ,5.24 ,5.17 
ind8,PC,INV_HH,DE,7.32 ,6.70 ,6.24 ,6.06 ,5.84 ,5.71 ,5.96 ,5.95 ,5.85 ,5.75 ,5.81 ,6.24 ,6.35 ,6.26 ,6.23 ,5.98 ,6.15 ,6.02 ,6.20 ,6.18 p,6.55 p,6.74 p
ind8,PC,INV_HH,DK,6.00 ,5.60 ,5.45 ,5.96 ,5.86 ,6.67 ,7.70 ,7.57 ,6.85 ,4.86 ,4.43 ,4.41 ,4.06 ,3.84 ,3.74 ,3.93 ,3.94 ,4.26 ,4.40 ,4.48 ,4.55 ,4.65 
ind8,PC,INV_HH,EA19,: ,: ,6.63 ,6.74 ,6.84 ,7.05 ,7.30 ,7.32 ,6.99 ,6.29 ,6.03 ,5.92 ,5.65 ,5.34 ,5.22 ,5.05 ,5.20 ,5.26 ,5.37 ,5.41 ,5.54 ,5.96 
ind8,PC,INV_HH,EE,3.15 ,3.58 ,4.09 ,4.78 ,5.33 ,6.58 ,8.98 ,8.12 ,5.39 ,4.00 ,3.54 ,3.60 ,3.70 ,4.19 ,4.33 ,4.55 ,4.90 ,5.11 ,4.97 ,5.26 ,5.77 ,5.41 
ind8,PC,INV_HH,EL,12.02 ,10.53 ,10.61 ,11.50 ,12.08 ,10.61 ,11.94 ,13.33 ,10.57 ,8.93 ,6.42 b,5.98 ,4.22 ,3.22 ,2.11 ,1.82 ,1.83 ,1.77 ,1.60 ,1.75 p,2.13 p,2.40 p
ind8,PC,INV_HH,ES,7.56 ,7.80 ,8.26 ,8.86 ,9.32 ,9.87 ,9.87 ,9.68 ,8.68 ,6.91 ,6.20 ,5.11 ,4.13 ,3.10 ,2.99 ,2.88 ,2.88 ,3.20 ,3.33 ,3.46 ,3.64 ,4.36 
ind8,PC,INV_HH,EU27_2020,: ,: ,6.37 ,6.48 ,6.58 ,6.76 ,6.99 ,7.07 ,6.75 ,6.05 ,5.81 ,5.69 ,5.43 ,5.13 ,5.04 ,4.91 ,5.06 ,5.14 ,5.21 ,5.25 ,5.34 ,5.73 
