wstatus,age,unit,geo\time,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
EMP_TEMP,Y20-64,PC_PNT,NO,-4.1 ,-3.8 ,-3.8 ,-4.5 ,-4.7 ,-4.6 ,-3.9 ,-3.9 ,-3.3 ,-2.7 ,-3.5 ,-3.4 ,-3.5 
EMP_TEMP,Y20-64,PC_PNT,PL,-1.9 ,-1.6 b,-0.7 ,-0.9 ,-1.1 ,-1.6 ,-2.0 ,-2.4 ,-2.9 ,-3.3 ,-3.8 ,-3.3 ,-2.2 
EMP_TEMP,Y20-64,PC_PNT,PT,-2.7 ,-2.6 ,-2.2 ,-1.4 ,-1.7 ,-1.2 ,-0.8 ,-1.1 ,-1.0 ,-1.6 ,-1.8 ,-1.8 ,-1.5 
EMP_TEMP,Y20-64,PC_PNT,RO,0.0 ,0.2 ,0.3 ,0.5 ,0.4 ,0.3 ,0.4 ,0.5 ,0.3 ,0.2 ,0.5 ,0.5 ,1.7 
EMP_TEMP,Y20-64,PC_PNT,RS,: ,: ,1.2 ,1.3 ,0.8 ,0.7 ,0.8 ,2.1 ,0.6 ,1.4 ,-0.2 ,-1.4 ,-1.8 
EMP_TEMP,Y20-64,PC_PNT,SE,-4.8 ,-4.1 ,-4.3 ,-4.3 ,-4.7 ,-4.3 ,-3.4 ,-3.3 ,-3.4 ,-3.5 b,-3.4 ,-3.5 ,-3.8 
EMP_TEMP,Y20-64,PC_PNT,SI,-4.3 ,-5.5 ,-5.3 ,-4.8 ,-3.3 ,-2.7 ,-3.5 ,-4.2 ,-4.2 ,-4.3 ,-4.5 ,-3.7 ,-3.3 
EMP_TEMP,Y20-64,PC_PNT,SK,0.1 ,-0.3 ,-0.3 b,-0.4 ,-0.2 ,0.3 ,-0.7 ,-0.2 ,-0.3 ,-0.7 ,-0.9 ,-0.9 ,-0.8 
EMP_TEMP,Y20-64,PC_PNT,TR,1.0 ,1.1 ,2.2 ,2.5 ,2.7 ,2.9 b,2.9 ,2.5 ,2.2 ,1.7 ,1.3 ,2.3 ,: 
UEMP_PT,Y20-64,PC_PNT,AT,-3.8 ,-3.0 ,-3.5 ,-3.7 ,-4.0 ,-4.1 ,-4.3 ,-3.8 ,-3.8 ,-3.2 ,-2.7 ,-3.1 ,-2.9 
UEMP_PT,Y20-64,PC_PNT,BE,-0.5 ,-0.5 ,-0.4 ,-3.4 b,-3.6 ,-3.0 ,-3.1 ,-3.2 ,-2.8 b,-2.5 ,-2.3 ,-2.5 ,-3.6 
UEMP_PT,Y20-64,PC_PNT,BG,0.3 u,0.6 bu,0.4 bu,0.4 u,0.2 ,0.5 ,0.4 u,0.5 u,0.7 u,0.4 u,0.4 u,0.3 u,0.1 u
UEMP_PT,Y20-64,PC_PNT,CH,: ,-8.2 b,-7.7 ,-7.6 ,-7.6 ,-7.5 ,-8.1 ,-7.7 ,-7.8 ,-8.1 ,-8.3 ,-8.1 ,-6.4 
