indicator,unit,hhtyp,incgrp,sex,age,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
ind6,PC,TOTAL,B_MD60,T,TOTAL,PL,: ,: ,15.2 ,16.9 ,14.8 ,14.3 ,13.2 ,11.0 ,10.1 ,10.7 ,9.6 ,9.0 ,7.9 ,6.9 ,7.1 ,6.8 ,6.0 ,5.1 
ind6,PC,TOTAL,B_MD60,T,TOTAL,PT,: ,7.9 ,6.9 ,6.6 ,7.2 ,6.5 ,5.1 ,3.2 ,1.7 ,1.8 ,1.4 ,2.1 ,2.4 ,3.1 ,2.9 ,1.5 ,1.4 ,1.0 
ind6,PC,TOTAL,B_MD60,T,TOTAL,RO,: ,: ,: ,: ,78.7 ,79.3 ,79.3 ,76.8 ,73.2 ,68.3 ,68.0 ,64.2 ,64.7 ,61.3 ,58.1 ,61.8 ,57.7 ,56.6 
ind6,PC,TOTAL,B_MD60,T,TOTAL,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,11.3 ,8.1 ,8.5 ,9.2 ,9.9 ,7.7 ,7.5 ,5.6 
ind6,PC,TOTAL,B_MD60,T,TOTAL,SE,: ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,B_MD60,T,TOTAL,SI,: ,: ,5.1 ,4.2 ,3.4 ,3.1 ,2.9 ,2.1 ,2.3 ,2.0 ,2.2 ,2.1 ,1.3 ,1.1 ,0.9 ,0.5 ,0.4 ,0.5 
ind6,PC,TOTAL,B_MD60,T,TOTAL,SK,: ,: ,4.1 ,4.7 ,6.0 ,0.5 b,2.1 ,2.6 ,1.3 ,2.0 ,1.3 ,4.5 ,5.3 ,5.8 ,6.7 ,7.1 ,10.3 ,4.6 
ind6,PC,TOTAL,B_MD60,T,TOTAL,TR,: ,: ,: ,16.7 ,14.0 ,15.0 ,13.8 ,14.5 ,7.7 ,7.2 ,6.3 ,5.5 ,5.6 ,4.1 ,3.6 ,3.2 ,2.4 ,2.1 
ind6,PC,TOTAL,B_MD60,T,TOTAL,UK,: ,: ,0.1 ,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 b,0.3 ,0.3 ,0.8 ,0.2 ,0.0 u,0.2 u,: ,: 
ind6,PC,TOTAL,B_MD60,T,TOTAL,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,2.7 ,: ,: 
ind6,PC,TOTAL,TOTAL,T,TOTAL,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,3.7 ,5.0 ,3.1 ,2.9 
ind6,PC,TOTAL,TOTAL,T,TOTAL,AT,0.8 ,0.7 ,0.4 ,0.4 ,0.7 ,0.5 b,0.5 ,0.4 ,0.4 ,0.4 ,0.2 ,0.2 ,0.3 ,0.2 ,0.2 ,0.3 ,0.1 ,0.5 
ind6,PC,TOTAL,TOTAL,T,TOTAL,BE,0.7 ,0.7 ,0.6 ,0.4 ,0.3 ,0.3 ,0.3 ,0.1 ,0.3 ,0.3 ,0.3 ,0.3 ,0.2 ,0.1 ,0.1 ,0.1 ,0.1 b,0.1 
ind6,PC,TOTAL,TOTAL,T,TOTAL,BG,: ,: ,: ,20.6 ,19.3 ,17.6 b,14.9 ,14.6 ,14.5 ,13.2 ,13.0 ,12.0 b,11.1 ,10.7 b,9.8 ,8.9 ,7.5 ,7.0 
ind6,PC,TOTAL,TOTAL,T,TOTAL,CH,: ,: ,: ,: ,1.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 b,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,TOTAL,T,TOTAL,CY,: ,: ,1.5 ,1.7 ,1.4 ,1.0 b,0.8 ,1.1 ,1.1 ,0.9 ,1.0 ,1.0 ,0.8 ,0.7 ,0.5 ,0.5 ,0.5 ,0.4 
ind6,PC,TOTAL,TOTAL,T,TOTAL,CZ,: ,: ,1.2 ,0.7 ,0.6 ,0.5 ,0.4 ,0.3 ,0.3 ,0.4 ,0.4 ,0.2 ,0.2 ,0.2 ,0.2 ,0.3 ,0.2 ,0.1 
ind6,PC,TOTAL,TOTAL,T,TOTAL,DE,: ,: ,0.1 ,0.2 ,0.2 ,0.2 ,0.1 ,0.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
ind6,PC,TOTAL,TOTAL,T,TOTAL,DK,0.9 ,0.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.5 ,0.3 ,0.6 ,0.5 ,0.5 ,0.5 ,0.5 ,0.4 ,0.3 ,0.4 
