hhtyp,incgrp,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
TOTAL,B_MD60,PC,NL,: ,: ,24.4 ,20.3 ,18.4 ,17.4 ,24.6 b,19.6 ,22.5 ,21.9 ,18.9 ,21.9 ,18.0 ,22.9 b,18.3 ,21.6 ,20.0 ,22.1 
TOTAL,B_MD60,PC,NO,6.8 ,6.7 ,5.3 ,7.7 ,5.5 ,8.2 ,7.4 ,7.3 ,7.3 ,9.1 ,8.3 ,6.5 ,6.3 ,6.7 ,5.7 ,6.5 ,5.4 ,6.0 
TOTAL,B_MD60,PC,PL,: ,: ,9.7 ,8.1 ,8.5 ,8.4 ,8.9 ,6.9 b,6.3 ,7.3 ,7.3 ,7.0 ,6.0 ,4.9 ,5.7 ,4.6 ,4.2 ,: 
TOTAL,B_MD60,PC,PT,: ,11.6 ,10.9 ,9.6 ,13.5 ,10.8 ,11.0 ,11.4 ,8.9 ,7.9 ,13.6 ,11.3 ,11.4 ,7.3 ,8.8 ,7.4 ,7.0 ,10.0 
TOTAL,B_MD60,PC,RO,: ,: ,: ,: ,16.8 ,13.3 ,14.4 ,14.3 ,15.4 ,13.8 ,15.5 ,15.9 ,14.2 ,15.2 ,14.2 ,12.3 ,11.0 ,9.7 
TOTAL,B_MD60,PC,RS,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,19.6 ,18.5 ,13.0 ,15.4 ,11.6 ,14.5 ,8.3 ,7.9 
TOTAL,B_MD60,PC,SE,: ,15.4 ,11.0 ,16.3 ,16.3 ,19.1 b,17.0 ,17.4 ,19.4 ,15.6 ,14.7 ,16.3 ,17.8 ,16.8 ,15.6 ,15.9 ,13.6 ,14.1 
TOTAL,B_MD60,PC,SI,: ,: ,8.6 ,8.0 ,10.0 ,8.3 ,11.6 b,7.9 ,7.2 ,7.3 ,7.7 ,8.6 ,8.0 ,7.6 ,6.3 ,6.4 ,6.3 ,7.6 
TOTAL,B_MD60,PC,SK,: ,: ,8.9 ,7.9 ,7.5 ,11.5 ,11.4 b,8.9 ,10.7 ,9.4 ,11.7 ,10.6 ,10.2 ,9.8 ,8.8 ,8.6 ,10.2 ,7.2 
TOTAL,B_MD60,PC,TR,: ,: ,: ,15.5 ,12.8 ,8.6 ,10.1 ,: ,10.4 ,7.5 ,8.9 ,10.5 ,11.9 ,12.0 ,11.1 ,9.8 ,10.2 ,8.6 
TOTAL,B_MD60,PC,UK,: ,: ,32.3 ,32.7 ,28.4 ,27.4 ,28.3 ,27.5 ,24.4 ,26.2 b,20.8 ,22.2 ,23.8 ,20.9 ,23.4 bu,25.7 u,: ,: 
TOTAL,B_MD60,PC,XK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,1.7 ,: ,: 
TOTAL,TOTAL,PC,AL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,0.6 ,1.1 ,0.7 ,0.7 
TOTAL,TOTAL,PC,AT,: ,9.8 ,12.4 ,12.1 ,11.4 ,11.0 b,15.1 ,13.4 ,12.1 ,11.7 ,11.3 ,13.4 ,12.9 ,12.4 ,10.9 ,9.7 ,8.4 ,5.7 
TOTAL,TOTAL,PC,BE,20.1 ,19.6 ,17.5 ,18.0 ,17.3 ,15.8 ,16.9 ,17.5 ,15.6 ,14.5 ,19.4 ,16.2 ,16.1 ,13.3 ,12.4 ,12.3 ,13.3 b,10.8 
TOTAL,TOTAL,PC,BG,: ,: ,24.5 ,24.5 ,27.6 ,24.7 ,28.6 b,27.7 ,27.2 ,26.9 ,25.8 ,26.8 ,26.3 ,25.0 b,23.6 ,21.8 ,20.2 ,19.1 
TOTAL,TOTAL,PC,CH,: ,: ,: ,: ,12.7 ,12.2 ,12.0 ,13.6 ,12.3 ,16.5 ,14.5 ,14.7 b,11.9 ,10.9 ,9.1 ,7.9 ,7.1 ,7.2 
TOTAL,TOTAL,PC,CY,: ,: ,8.9 ,12.9 ,13.6 ,10.1 b,8.3 ,12.7 ,15.0 ,15.5 ,15.3 ,11.9 ,12.0 ,9.8 ,12.5 ,13.9 ,12.7 ,10.4 
TOTAL,TOTAL,PC,CZ,: ,: ,16.5 ,14.3 ,13.1 ,13.9 ,17.9 b,15.4 ,15.0 ,13.2 ,13.9 ,13.5 ,12.0 ,11.7 ,9.3 ,7.9 ,7.8 ,6.1 
TOTAL,TOTAL,PC,DE,: ,: ,9.8 ,12.6 ,12.4 ,13.0 ,12.7 ,12.0 ,12.9 ,12.5 ,13.5 ,13.1 ,13.8 ,14.1 ,14.2 ,13.3 ,13.1 ,8.2 bu
TOTAL,TOTAL,PC,DK,10.0 ,14.2 ,14.0 ,13.6 ,14.0 ,16.2 ,16.5 ,14.2 ,15.7 ,9.9 ,9.2 ,9.1 ,7.7 ,8.4 ,7.8 ,7.4 ,7.5 ,7.3 
TOTAL,TOTAL,PC,EA19,: ,: ,14.4 ,14.8 ,14.9 ,13.8 ,15.1 ,13.5 ,13.5 ,13.4 ,14.9 ,14.4 ,14.1 ,13.1 ,12.3 ,12.3 ,12.0 ,11.8 
TOTAL,TOTAL,PC,EE,: ,27.8 ,23.2 ,20.1 ,21.4 ,17.2 ,19.3 ,18.0 ,14.5 ,15.7 ,12.3 ,12.3 b,11.8 ,9.2 ,7.3 ,7.4 ,7.4 ,5.5 
TOTAL,TOTAL,PC,EL,9.7 ,7.8 ,8.2 ,8.5 ,10.4 ,12.0 ,16.3 b,19.1 ,20.1 ,20.1 ,19.0 ,16.1 ,12.8 ,11.8 ,13.8 ,13.5 ,16.9 ,18.1 
TOTAL,TOTAL,PC,ES,: ,18.4 ,18.9 ,19.3 ,17.5 ,14.7 ,16.4 b,13.0 ,10.8 ,10.1 ,14.2 ,11.9 ,10.0 ,10.3 ,8.7 ,10.9 ,11.6 ,14.1 
TOTAL,TOTAL,PC,EU,: ,: ,: ,: ,: ,: ,: ,: ,14.1 ,13.6 ,14.5 ,14.0 ,13.6 ,13.0 ,12.0 e,12.7 e,12.3 e,: 
TOTAL,TOTAL,PC,EU27_2007,: ,: ,: ,: ,15.9 ,14.7 ,16.0 ,14.4 ,14.2 ,13.7 ,14.6 ,14.1 ,13.7 ,13.1 ,12.0 e,12.7 e,12.4 e,: 
TOTAL,TOTAL,PC,EU27_2020,: ,: ,: ,: ,: ,: ,: ,13.1 e,13.2 e,12.8 e,14.1 e,13.6 e,13.2 e,12.5 e,11.5 e,11.5 e,11.0 e,10.7 e
TOTAL,TOTAL,PC,EU28,: ,: ,: ,: ,: ,: ,: ,14.4 ,14.1 ,13.6 ,14.5 ,14.0 ,13.6 ,13.0 ,12.0 e,12.7 e,12.3 e,: 
TOTAL,TOTAL,PC,FI,: ,16.8 ,17.3 ,15.3 ,12.9 ,13.1 ,13.7 ,8.7 ,8.3 ,8.6 ,9.0 ,7.0 ,7.3 ,6.5 ,6.2 ,7.0 ,6.4 ,7.0 
TOTAL,TOTAL,PC,FR,: ,22.3 ,17.5 ,16.1 ,16.3 ,14.8 ,15.3 ,15.6 ,14.8 ,14.7 ,16.8 ,15.3 ,14.2 ,14.8 ,13.9 ,14.9 ,14.7 ,17.7 b
TOTAL,TOTAL,PC,HR,: ,: ,: ,: ,: ,: ,: ,4.6 ,3.6 ,3.2 ,2.9 ,2.5 ,2.8 ,3.0 ,3.0 ,2.6 ,2.7 ,2.4 
TOTAL,TOTAL,PC,HU,: ,: ,12.4 ,10.0 ,12.9 ,13.1 ,11.6 ,11.7 ,10.9 ,10.4 ,12.6 ,13.9 ,10.6 ,9.7 ,7.2 ,4.8 ,5.3 ,5.3 
TOTAL,TOTAL,PC,IE,15.4 ,14.7 ,14.5 ,16.5 ,15.3 ,12.2 ,14.5 ,10.2 ,10.4 ,10.7 ,11.9 ,10.9 ,10.9 ,9.7 ,9.7 ,10.0 ,8.8 ,11.3 b
TOTAL,TOTAL,PC,IS,: ,3.9 ,3.7 ,2.4 ,3.5 ,3.3 ,4.2 ,3.7 ,2.3 ,3.4 ,2.2 ,2.1 ,2.2 ,2.2 ,2.0 ,2.8 ,: ,: 
TOTAL,TOTAL,PC,IT,: ,15.3 ,14.3 ,14.8 ,16.0 ,14.2 ,15.9 ,12.7 ,14.5 ,14.9 ,16.0 ,18.0 ,19.4 ,14.7 ,12.5 ,11.3 ,9.4 ,8.4 
TOTAL,TOTAL,PC,LT,: ,: ,9.0 ,7.8 ,7.1 ,5.1 ,6.5 ,5.3 ,4.8 ,5.0 ,6.4 ,4.8 ,4.6 ,3.4 ,8.2 ,3.7 ,3.2 ,3.3 
TOTAL,TOTAL,PC,LU,18.3 ,15.3 ,15.4 ,11.1 ,9.7 ,10.6 ,10.6 ,10.2 ,10.7 ,14.4 ,12.9 ,16.8 ,14.9 ,12.2 b,12.0 ,11.3 ,11.2 ,11.0 b
TOTAL,TOTAL,PC,LV,: ,: ,22.6 ,27.2 ,27.2 ,28.7 ,25.3 b,23.8 ,19.0 ,17.0 ,12.0 ,13.0 ,11.8 ,10.0 ,8.0 ,8.6 ,6.1 ,5.3 
TOTAL,TOTAL,PC,ME,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,6.5 ,6.8 ,7.3 ,5.2 ,4.1 ,6.2 ,6.9 ,3.7 
TOTAL,TOTAL,PC,MK,: ,: ,: ,: ,: ,: ,: ,7.0 ,6.9 ,4.9 ,7.3 ,5.7 ,5.7 ,4.8 ,4.2 ,5.3 ,6.5 ,5.5 
TOTAL,TOTAL,PC,MT,: ,: ,13.4 ,12.5 ,10.2 ,9.7 ,10.7 ,10.4 ,12.7 ,12.6 ,12.9 ,12.2 ,11.0 ,10.4 ,10.0 ,12.5 ,13.6 ,11.4 
TOTAL,TOTAL,PC,NL,: ,: ,19.0 ,16.7 ,17.7 ,14.8 ,21.7 b,16.8 ,18.6 ,18.3 ,18.1 ,18.5 ,17.4 ,16.9 b,15.0 ,17.5 ,16.3 ,15.7 
