indic_em,age,unit,sex,geo\time,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
LTU,Y15-74,PC_ACT,T,FI,1.7 ,2.5 ,2.2 ,2.1 ,2.1 ,2.4 ,2.9 ,2.9 ,2.6 ,2.0 ,1.5 ,1.5 ,1.8 
LTU,Y15-74,PC_ACT,T,FR,2.0 ,2.4 ,2.5 ,2.6 ,2.9 ,3.1 ,3.1 ,3.1 ,2.9 ,2.5 ,2.3 ,1.9 ,2.3 d
LTU,Y15-74,PC_ACT,T,HR,5.1 ,6.6 ,8.4 ,10.2 ,11.0 ,10.1 ,10.2 ,6.6 ,4.6 ,3.4 ,2.4 ,2.1 ,2.8 
LTU,Y15-74,PC_ACT,T,HU,4.0 ,5.3 ,5.1 ,4.8 ,4.8 ,3.6 ,3.0 ,2.3 ,1.6 ,1.4 ,1.1 ,1.1 ,1.3 
LTU,Y15-74,PC_ACT,T,IE,3.5 ,6.9 ,8.8 ,9.2 ,7.9 ,6.6 ,5.3 ,4.2 ,3.0 ,2.1 ,1.6 ,1.4 ,1.8 
LTU,Y15-74,PC_ACT,T,IS,0.4 ,1.3 ,1.7 ,1.5 ,1.0 ,0.6 ,0.5 ,: u,0.3 ,0.3 ,: u,0.5 b,1.1 
LTU,Y15-74,PC_ACT,T,IT,3.7 ,4.3 ,4.6 ,6.0 ,7.4 ,8.2 ,7.4 ,7.1 ,6.9 ,6.5 ,5.9 ,5.1 ,5.4 
LTU,Y15-74,PC_ACT,T,LT,3.3 ,7.4 ,8.0 ,6.6 ,5.1 ,4.8 ,3.9 ,3.0 ,2.7 ,2.0 ,1.9 ,2.5 ,2.6 
LTU,Y15-74,PC_ACT,T,LU,1.2 ,1.3 ,1.4 ,1.6 ,1.8 ,1.6 ,1.9 b,2.2 ,2.1 ,1.4 ,1.3 ,1.7 ,1.8 
LTU,Y15-74,PC_ACT,T,LV,5.0 ,9.7 ,9.8 ,8.6 ,6.3 ,5.1 ,4.9 ,4.4 ,3.6 ,3.4 ,2.7 ,2.4 ,2.3 
LTU,Y15-74,PC_ACT,T,ME,: ,: ,15.7 ,15.8 ,16.0 ,14.0 ,13.5 ,13.4 ,12.5 ,11.4 ,12.0 ,13.4 ,: 
LTU,Y15-74,PC_ACT,T,MK,26.3 ,26.6 ,25.9 ,25.5 ,23.9 ,23.3 ,21.3 ,19.1 ,17.4 ,15.5 ,12.4 ,12.4 ,: 
LTU,Y15-74,PC_ACT,T,MT,2.9 ,4.1 ,3.9 ,3.8 ,3.5 ,2.9 ,2.7 ,2.4 ,2.0 ,1.8 ,0.9 ,1.1 ,0.9 
LTU,Y15-74,PC_ACT,T,NL,0.9 ,1.1 ,1.4 ,1.7 ,2.3 ,2.7 ,2.7 ,2.3 ,1.7 ,1.2 ,0.9 ,0.7 ,0.8 
LTU,Y15-74,PC_ACT,T,NO,0.7 ,1.0 ,1.1 ,0.8 ,1.0 ,1.1 ,1.3 ,1.6 ,1.5 ,1.3 ,1.1 ,1.2 ,1.0 
LTU,Y15-74,PC_ACT,T,PL,2.6 ,3.1 b,3.7 ,4.2 ,4.5 ,3.9 ,3.0 ,2.2 ,1.5 ,1.0 ,0.7 ,0.6 ,0.9 
LTU,Y15-74,PC_ACT,T,PT,4.8 ,6.3 ,6.5 ,8.1 ,9.7 ,8.7 ,7.5 ,6.4 ,4.6 ,3.2 ,2.8 ,2.3 ,2.9 
LTU,Y15-74,PC_ACT,T,RO,2.6 ,3.0 ,3.6 ,3.7 ,3.9 ,3.4 ,3.6 ,3.4 ,2.4 ,2.2 ,2.0 ,1.8 ,2.0 
LTU,Y15-74,PC_ACT,T,RS,: ,: ,16.3 ,17.4 ,16.0 ,12.8 ,11.0 ,9.5 ,7.4 ,6.7 ,5.5 ,4.5 ,4.9 
LTU,Y15-74,PC_ACT,T,SE,1.7 ,2.5 ,2.3 ,2.3 ,2.3 ,2.3 ,2.3 ,2.0 ,2.0 ,1.7 b,1.5 ,1.8 ,2.0 
LTU,Y15-74,PC_ACT,T,SI,1.8 ,3.2 ,3.7 ,4.3 ,5.2 ,5.3 ,4.7 ,4.3 ,3.1 ,2.2 ,1.9 ,1.9 ,1.9 
LTU,Y15-74,PC_ACT,T,SK,7.6 ,10.7 ,10.7 b,10.9 ,11.6 ,10.7 ,8.8 ,6.8 ,5.9 ,4.7 ,3.9 ,3.7 ,3.9 
LTU,Y15-74,PC_ACT,T,TR,2.9 ,2.8 ,2.1 ,1.8 ,1.9 ,2.0 b,2.2 ,2.2 ,2.4 ,2.4 ,3.2 ,3.3 ,: 
