sex,incgrp,age,unit,geo\time,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
T,TOTAL,TOTAL,PC,AT,: ,7.9 u,4.6 ,5.0 ,5.4 ,8.5 bu,8.0 u,7.5 u,7.8 u,7.0 ,7.2 ,6.6 ,6.4 ,7.2 ,7.1 ,6.8 ,7.0 ,6.3 ,6.1 ,: 
T,TOTAL,TOTAL,PC,BE,: ,12.6 ,8.6 ,9.8 ,10.1 ,12.5 ,8.7 ,8.9 ,10.6 ,11.0 ,9.6 ,10.4 ,9.4 ,9.8 ,9.4 ,8.9 ,8.4 b,7.8 ,7.5 ,7.7 
T,TOTAL,TOTAL,PC,BG,: ,: ,: ,15.4 ,21.2 ,13.3 ,7.0 ,5.9 ,8.7 ,14.5 ,14.3 ,12.9 ,14.8 ,20.7 b,18.9 ,17.9 ,16.0 ,14.4 ,11.6 ,15.1 
T,TOTAL,TOTAL,PC,CH,: ,: ,: ,: ,: ,: ,13.2 ,14.1 ,13.1 ,12.1 ,10.6 ,11.7 b,11.7 ,12.0 ,12.7 ,12.8 ,14.2 ,13.6 ,14.8 ,: 
T,TOTAL,TOTAL,PC,CY,: ,: ,6.6 ,3.0 ,1.7 ,1.8 b,2.4 ,3.1 ,3.1 ,3.3 ,3.3 ,4.0 ,3.9 ,3.1 ,2.8 ,2.0 ,2.3 ,1.9 ,2.5 ,: 
T,TOTAL,TOTAL,PC,CZ,: ,: ,10.0 ,10.8 ,10.3 ,12.8 ,8.9 ,9.7 ,9.5 ,10.0 ,11.7 ,10.5 ,10.4 ,9.5 ,8.7 ,7.8 ,6.9 ,6.5 ,6.2 ,: 
T,TOTAL,TOTAL,PC,DE,: ,: ,: ,: ,: ,: ,: ,14.5 ,16.1 ,16.6 ,16.4 ,15.9 ,15.6 ,15.8 ,14.5 ,14.2 ,13.9 ,9.0 b,11.0 ,: 
T,TOTAL,TOTAL,PC,DK,: ,: ,13.6 ,16.1 ,13.4 ,17.1 ,24.2 ,21.9 ,18.5 b,16.7 ,17.9 ,15.6 ,15.1 ,15.1 ,15.7 ,14.7 ,15.6 ,14.1 b,15.5 ,: 
T,TOTAL,TOTAL,PC,EA19,: ,: ,9.1 e,9.7 e,8.3 e,8.2 e,8.0 e,9.6 ,10.7 ,11.1 ,11.3 ,11.4 ,11.3 ,11.0 ,10.2 ,9.8 ,9.8 ,8.0 ,8.7 e,: 
T,TOTAL,TOTAL,PC,EE,: ,: ,7.9 ,6.8 ,5.2 ,3.6 ,4.4 ,6.0 ,7.4 ,7.9 ,7.2 ,8.3 b,6.8 ,4.9 ,4.8 ,4.0 ,4.4 ,4.4 ,4.4 ,: 
