unit,icd10,age,sex,geo\time,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 
RT,X85-Y09_Y871,TOTAL,M,UK,1.1 ,0.5 ,0.7 ,0.7 ,0.7 ,0.6 ,0.7 ,0.5 ,0.5 ,0.4 ,0.4 ,0.25 d,0.25 d,0.22 d,0.15 d,0.15 d,0.18 d,0.17 d,0.21 dp,: ,: 
RT,X85-Y09_Y871,TOTAL,T,AL,: ,: ,: ,: ,4.3 ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
RT,X85-Y09_Y871,TOTAL,T,AT,1.0 ,1.0 ,0.9 ,0.6 ,0.8 ,0.8 ,0.8 ,0.6 ,0.6 ,0.7 ,0.6 ,0.55 ,0.44 ,0.44 ,0.43 ,0.57 ,0.5 ,0.54 ,0.57 p,0.51 p,0.42 
RT,X85-Y09_Y871,TOTAL,T,BE,: ,: ,: ,1.4 ,1.7 ,1.5 ,1.4 ,1.5 ,1.2 ,1.2 ,1.1 ,1.35 ,1.17 ,0.99 ,1.03 ,1.06 ,1.1 ,1.06 ,0.99 p,0.81 p,0.72 
RT,X85-Y09_Y871,TOTAL,T,BG,3.6 ,3.1 ,3.0 ,2.9 ,2.9 ,2.4 ,1.9 ,1.9 ,1.7 ,2.0 ,1.6 ,1.28 ,1.52 ,1.22 ,1.33 ,1.38 ,1.08 ,1.17 ,1.18 p,0.97 p,0.72 
RT,X85-Y09_Y871,TOTAL,T,CH,0.8 ,1.1 ,1.0 ,0.7 ,0.9 ,0.8 ,0.6 ,0.6 ,0.6 ,0.7 ,0.5 ,0.53 ,0.49 ,0.54 ,0.4 ,0.57 ,0.35 ,0.38 ,0.45 p,0.39 p,0.52 
RT,X85-Y09_Y871,TOTAL,T,CY,: ,: ,: ,: ,1.4 ,1.9 ,1.8 ,1.4 ,1.2 ,2.2 ,0.4 ,2.34 ,1.94 ,1.36 ,1.14 ,1.49 ,1.25 ,1 ,1.57 p,1.43 p,1.43 
RT,X85-Y09_Y871,TOTAL,T,CZ,1.5 ,1.3 ,1.3 ,1.4 ,1.2 ,0.9 ,1.0 ,1.0 ,0.7 ,0.8 ,0.8 ,0.86 ,0.9 ,0.87 ,0.74 ,0.84 ,0.5 ,0.62 ,0.53 p,0.72 p,0.59 
RT,X85-Y09_Y871,TOTAL,T,DE,0.7 ,0.7 ,0.7 ,0.7 ,0.6 ,0.5 ,0.6 ,0.5 ,0.5 ,0.5 ,0.6 ,0.54 ,0.53 ,0.5 ,0.46 ,0.53 ,0.46 ,0.44 ,0.4 p,0.4 p,0.44 
RT,X85-Y09_Y871,TOTAL,T,DK,1.2 ,0.9 ,0.9 ,1.1 ,0.7 ,1.0 ,0.7 ,0.9 ,0.8 ,0.8 ,: ,0.8 ,0.34 ,0.35 ,0.74 ,0.6 ,0.47 ,0.81 ,0.68 p,0.63 p,0.62 
RT,X85-Y09_Y871,TOTAL,T,EE,14.9 ,15.5 ,11.8 ,10.9 ,8.3 ,9.4 ,7.5 ,7.1 ,6.8 ,6.1 ,4.7 ,4.73 ,4.89 ,3.98 ,3.19 ,3.64 ,2.65 ,2.28 ,2.26 p,1.95 p,3.19 
RT,X85-Y09_Y871,TOTAL,T,EL,1.2 ,1.1 ,0.8 ,1.1 ,0.9 ,1.0 ,0.9 ,1.1 ,1.3 ,1.4 ,1.4 ,1.54 ,1.4 ,1.35 ,1.06 ,0.85 ,0.77 ,0.82 ,0.91 p,0.8 p,0.74 
RT,X85-Y09_Y871,TOTAL,T,ES,1.0 ,1.0 ,1.0 ,1.0 ,1.3 ,0.9 ,0.8 ,0.7 ,0.8 ,0.7 ,0.7 ,0.68 ,0.62 ,0.65 ,0.64 ,0.58 ,0.57 ,0.64 ,0.55 p,0.58 p,0.59 
RT,X85-Y09_Y871,TOTAL,T,EU27_2020,: ,: ,1.4 e,1.4 e,1.4 e,1.2 e,1.1 e,1.1 e,1.1 e,1 e,1 e,0.94 ,0.9 ,0.86 ,0.78 ,0.76 ,0.69 ,0.68 ,0.67 p,0.67 p,0.66 
RT,X85-Y09_Y871,TOTAL,T,EU28,: ,: ,1.3 e,1.3 e,1.3 e,1.1 e,1.1 e,1 e,1 e,0.9 e,0.9 e,0.85 d,0.81 d,0.77 d,0.7 ,0.68 ,0.62 ,0.61 ,0.6 p,: ,: 
RT,X85-Y09_Y871,TOTAL,T,FI,2.6 ,2.9 ,2.5 ,1.9 ,2.4 ,2.0 ,2.0 ,2.2 ,2.2 ,2.0 ,1.9 ,1.79 ,1.33 ,1.48 ,1.41 ,1.31 ,1.17 ,1.11 ,1.22 p,1.15 p,1.31 
RT,X85-Y09_Y871,TOTAL,T,FR,: ,0.9 ,0.9 ,0.8 ,0.9 ,0.8 ,0.8 ,0.7 ,0.8 ,0.9 ,0.8 ,0.69 ,0.69 ,0.66 ,0.48 ,0.51 ,0.47 ,0.43 ,0.67 p,0.77 p,0.73 
RT,X85-Y09_Y871,TOTAL,T,HR,: ,: ,1.5 ,1.6 ,1.8 ,1.3 ,1.8 ,1.6 ,1.7 ,1.3 ,1.4 ,1.14 ,1.23 d,1.12 d,0.88 ,0.9 ,1.23 ,1.21 ,0.56 p,0.83 p,0.97 
RT,X85-Y09_Y871,TOTAL,T,HU,2.7 ,2.6 ,2.5 ,2.0 ,2.2 ,2.0 ,2.0 ,1.8 ,2.1 ,1.5 ,1.5 ,1.69 d,1.37 d,1.25 d,0.94 ,1.27 ,0.97 ,0.82 ,1.02 p,0.81 p,0.92 
